ID,Symbol,Name,Sector,Industry,Full Time Employees,CEO,Address,Description
1,AAPL,Apple Inc,Technology,Consumer Electronics,"137,000",Timothy D. Cook,"One Apple Park Way
Cupertino, CA 95014
United States","Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides digital content stores and streaming services; AppleCare support services; and iCloud, a cloud service, which stores music, photos, contacts, calendars, mail, documents, and others. In addition, the company offers various service, such as Apple Arcade, a game subscription service; Apple Card, a co-branded credit card; Apple News+, a subscription news and magazine service; and Apple Pay, a cashless payment service, as well as licenses its intellectual property, and provides other related services. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store, Mac App Store, and Watch App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California."
2,ACN,Accenture Plc,Technology,Information Technology Services,492000,Julie T. Spellman Sweet,"1 Grand Canal Square
Grand Canal Harbour
Dublin 2
Ireland","Accenture plc provides consulting, technology, and outsourcing services in Ireland and internationally. Its Communications, Media & Technology segment provides professional services for clients to accelerate and deliver digital transformation, develop industry-specific solutions, and enhance efficiencies and business results for communications, media, high tech, software, and platform companies. The company's Financial Services segment offers services for profitability pressures, industry consolidation, regulatory changes, and the need to continually adapt to new digital technologies for banking, capital market, and insurance industries. Its Health & Public Service segment provides consulting services and digital solutions to help clients deliver social, economic, and health outcomes for healthcare payers and providers, government departments and agencies, public service organizations, educational institutions, and non-profit organizations. The company's Products segment helps clients enhance their performance in distribution, sales, and marketing; in research and development, and manufacturing; and in business functions, such as finance, human resources, procurement, and supply chain. This segment serves clients in consumer goods, retail, and travel services industries; automotive, freight and logistics, industrial and electrical equipment, consumer durable and heavy equipment, and construction and infrastructure management companies; and pharmaceutical, medical technology, and biotechnology companies. Its Resources segment enables clients in chemicals, energy, forest products, metals and mining, and utilities and related industries to develop and implement strategies, improve operations, manage complex change initiatives, and integrate digital technologies. The company has strategic alliances with Quantexa and nCino, Inc., and Google Cloud; and a collaboration agreement with Faurecia and Affectiva. Accenture plc was founded in 1989 and is based in Dublin, Ireland."
3,ADBE,Adobe Systems Inc,Technology,Software - Application,21357,Shantanu Narayen,"345 Park Avenue
San Jose, CA 95110
United States","Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, small and medium businesses, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves traditional content creators, Web application developers, and digital media professionals, as well as their management in marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers solutions for how digital advertising and marketing are created, managed, executed, measured, and optimized. This segment provides analytics, social marketing, targeting, media optimization, digital experience management, cross-channel campaign management, marketing automation, audience management, and video delivery and monetization solutions to digital marketers, advertisers, publishers, merchandisers, Web analysts, chief marketing officers, chief information officers, and chief revenue officers. Its Publishing segment offers products and services, such as e-learning solutions, technical document publishing, Web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force, as well as to end-users through app stores and through its Website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California."
4,ADI,Analog Devices,Technology,Semiconductors,"15,800",Vincent T. Roche,"One Technology Way
PO Box 9106
Norwood, MA 02062
United States","Analog Devices, Inc. designs, manufactures, and markets integrated circuits (ICs), algorithms, software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies. The company offers data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; high-performance amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure. It also provides power management and reference products for power management and conversion applications in the automotive, communications, industrial, and high-end consumer markets; and microelectromechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes to sense rotation, and inertial measurement units to sense multiple degrees of freedom. In addition, the company offers isolators for various applications, such as universal serial bus isolation in patient monitors; and smart metering and satellite applications, as well as digital signal processing products for high-speed numeric calculations Its products are used in electronic equipment, including industrial process control systems, medical imaging equipment, factory automation systems, patient monitoring devices, instrumentation and measurement systems, wireless infrastructure equipment, energy management systems, networking equipment, aerospace and defense electronics, optical systems, automobiles, and portable electronic devices. The company serves clients in industrial, automotive, consumer, and communications markets through a direct sales force, third-party distributors, and independent sales representatives in the United States, rest of North and South America, Europe, Japan, China, and rest of Asia, as well as through its Website. Analog Devices, Inc. was founded in 1965 and is headquartered in Norwood, Massachusetts."
5,ADP,Automatic Data Procs,Industrials,Business Services,"58,000",Carlos A. Rodriguez,"One ADP Boulevard
Roseland, NJ 07068
United States","Automatic Data Processing, Inc. provides cloud-based human capital management solutions worldwide. It operates through two segments, Employer Services and Professional Employer Organization (PEO) Services. The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. Its offerings include payroll, benefits administration, talent management, HR management, workforce management, insurance, retirement, and compliance services. The PEO Services segment provides HR outsourcing solutions through a co-employment model. This segment offers protection and compliance, talent engagement, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey."
6,ADS,Alliance Data Systems Corp,"Financial Services
",Credit Services,10000,Melisa A. Miller,"3075 Loyalty Circle
Columbus, OH 43219
United States","Alliance Data Systems Corporation provides data-driven marketing and loyalty solutions worldwide. It operates through three segments: LoyaltyOne, Epsilon, and Card Services. The company offers a portfolio of integrated outsourced marketing solutions, including customer loyalty programs, database marketing services, end-to-end marketing services, analytics and creative services, direct marketing services, and private label and co-brand retail credit card programs. It also focuses on facilitating and managing interactions between its clients and their customers through various consumer marketing channels, including in-store, online, email, social media, mobile, direct mail, and telephone. The company captures and analyzes data created during each customer interaction, leveraging the insight derived from that data to enable clients to identify and acquire new customers and to enhance customer loyalty. It serves clients across various end-markets, including financial services, specialty retail, grocery and drugstore chains, petroleum retail, automotive, hospitality and travel, telecommunications, insurance, and healthcare. Alliance Data Systems Corporation was founded in 1996 and is headquartered in Columbus, Ohio."
7,ADSK,Autodesk Inc,Technology,Software - Application,"9,600",Andrew Anagnost,"111 McInnis Parkway
San Rafael, CA 94903
United States","Autodesk, Inc. operates as a design software and services company worldwide. The company offers AutoCAD, a professional design, drafting, detailing, and visualization software; AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; AutoCAD LT, a professional drafting and detailing software; BIM 360, a construction management cloud-based software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections software products for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment industries. It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and PlanGrid, a cloud-based field collaboration software, which provides general contractors, subcontractors, owners, and architects access to construction information in real-time. In addition, the company offers Revit software for building information modeling; and Shotgun, a cloud-based software for review and production tracking in the media and entertainment industry. Autodesk, Inc. sells its products and services to customers directly, as well as through distributors and resellers. The company was founded in 1982 and is headquartered in San Rafael, California."
8,AKAM,Akamai Technologies,Technology, Software - Application,"7,579",F. Thomson Leighton,"Kendall Square
145 Broadway
Cambridge, MA 02142
United States","Akamai Technologies, Inc. provides cloud services for delivering, optimizing, and securing content and business applications over the Internet in the United States and internationally. It provides cloud security solutions, including Web Application Protector to safeguard Web assets from Web application and distributed denial of service; Kona Site Defender, a cloud security solution; Bot Manager to identify bots and categorize bots based on business or IT impact; Fast DNS, which translates human-readable domain names into numerical IP addresses; Prolexic Routed to protect Web- and IP-based applications; and Client Reputation that assigns risk scores to malicious IP address and enables customers to take action on individual clients. The company also offers enterprise security solutions, including Enterprise Application Access that enables remote access to applications; and Enterprise Threat Protector to enable enterprise security teams to identify, block, and mitigate targeted attacks. In addition, the company provides Web and mobile performance solutions, such as Ion, a suite of intelligent performance optimization tools and controls; Dynamic Site Accelerator to accelerate and secure interactive Websites; Image Manager that automatically optimizes online images; CloudTest to conduct load testing and other analysis of Websites in a pre-production environment; and mPulse that provides real-time Website performance data to provide insight about end-user experiences on a Website. Further, it provides carrier solutions, including Aura Managed CDN, intelligent recursive DNS platforms, and security and personalization services; and media delivery solutions, such as adaptive delivery, download delivery, media services live, and media analytics, as well as NetStorage, a cloud storage solution. The company sells its solutions through direct sales and service organization; and channel partners. The company was founded in 1998 and is headquartered in Cambridge, Massachusetts."
9,AMAT,Applied Materials,Technology,Semiconductor Equipment & Materials,"21,600",Gary E. Dickerson,"3050 Bowers Avenue
PO Box 58039
Santa Clara, CA 95054
United States","Applied Materials, Inc. provides manufacturing equipment, services, and software to the semiconductor, display, and related industries. It operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation and nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices, as well as equipment for flexible substrates. The company serves manufacturers of semiconductor wafers and chips, liquid crystal and organic light-emitting diode displays, and other electronic devices. It operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. Applied Materials, Inc. was founded in 1967 and is headquartered in Santa Clara, California."
10,AMD,Adv Micro Devices,Technology,Semiconductors,"10,100",Lisa T. Su,"2485 Augustine Drive
Santa Clara, CA 95054
United States","Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit (APU), chipsets, discrete and integrated graphics processing units (GPUs), and professional GPUs; and server and embedded processors, and semi-custom System-on-Chip (SoC) products and technology for game consoles. The company provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen PRO, Threadripper, AMD A-Series, AMD FX, AMD Athlon, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen processors with Radeon Vega GPUs, AMD A-Series, AMD Athlon, AMD Ryzen PRO, and AMD Pro A-Series processors brands; microprocessors for servers under the AMD EPYC and AMD Opteron brands; and chipsets under the AMD trademark. It also offers discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics and AMD Embedded Radeon brands; professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands; and Radeon Instinct accelerators for servers. In addition, the company provides embedded processor solutions for interactive digital signage, casino gaming, and medical imaging under the AMD Opteron, AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD's CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment and design manufacturers, datacenters, original design manufacturers, system integrators, distributors, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. Advanced Micro Devices, Inc. was founded in 1969 and is headquartered in Santa Clara, California."
